stock,currentValue,VaR95,ES95,VaR99,ES99,Standard_Dev,min,max,mean
ETN,212.660004,5.529100623790555,7.809280364302362,8.755040619214896,12.186130138208473,3.6600857368326234,-39.19441429976169,55.59677642936211,0.12691383225761912
SLB,59.040001,2.358033465780821,3.2429547961731484,3.7322736383403594,4.748329301703547,1.5067114912674329,-8.157466077679857,14.545376767705513,0.01193451421586179
PGR,143.259995,3.6441634369794826,5.67197916530141,6.519488533747904,9.446997598452407,2.557891405541695,-22.72367646804294,31.781845610878577,0.02963871082809021
SCHW,55.150002,1.8852838775697833,3.497649997390166,3.9762840686689884,7.123065736539054,1.7869352257896505,-42.27125849320841,47.885626939161426,0.08658190251865543
LRCX,619.109985,27.005932501706752,35.821247439669854,40.19702075475038,51.545598346395565,17.14285741451411,-114.89471728800146,145.5568379151972,-0.2140937248112653
ZTS,176.679993,4.885739919694544,6.836926336543924,7.8098789320055175,10.235983365862184,3.197412760921719,-22.336557332038637,34.186078792478696,-0.011844037042608887
C,40.919998,1.1199288070530145,1.4538100969609087,1.6636578865918068,1.9897331720909608,0.6854366745002517,-4.588819484814145,4.370629687081461,-0.010482920789530272
BSX,53.599998,1.0469949247747863,1.4328930262358635,1.626299758891875,2.1316359184655345,0.6660731727028751,-4.529345673228548,4.553218013527193,-0.012099596404439477
AMT,166.210007,4.844404745954961,6.132793797899089,7.039241219891835,7.768369256792182,2.9919874622046763,-9.887934079049558,12.419591202256527,0.03944690449995239
Total,24959.62019,469.66584439413623,580.303270326436,654.2660876030787,737.9981880158085,281.92257524815454,-1097.1513896717533,1017.0357769208612,-1.5922507610433927
